# Last update: Sun, 28 Apr 2019 23:00:13 +0200
#
# IP	number of (black)lists
#
197.231.221.211	12
80.82.77.33	10
171.25.193.77	10
171.25.193.78	10
80.82.77.139	10
171.25.193.25	10
31.220.40.54	10
185.244.25.205	10
171.25.193.20	10
185.220.101.1	9
89.234.157.254	9
185.220.101.3	9
185.220.101.46	9
192.42.116.16	9
185.220.102.8	9
18.85.192.253	9
54.36.222.37	9
171.25.193.235	9
65.19.167.131	9
23.129.64.102	9
65.19.167.132	9
64.113.32.29	9
42.61.24.202	9
62.102.148.67	9
111.53.76.186	9
104.248.95.188	8
23.24.163.78	8
151.53.243.41	8
58.42.228.170	8
164.132.51.91	8
206.189.217.240	8
178.73.215.171	8
94.102.49.190	8
51.75.145.219	8
112.197.172.233	8
176.31.208.193	8
185.220.101.33	8
198.96.155.3	8
185.220.101.5	8
176.10.104.240	8
185.220.101.44	8
71.6.146.185	8
46.165.245.154	8
58.135.224.36	8
192.160.102.170	8
109.201.133.100	8
185.220.102.4	8
104.192.3.226	8
202.100.182.250	8
46.165.230.5	8
37.187.129.166	8
193.32.163.89	8
77.247.181.162	8
77.247.181.163	8
80.13.251.203	8
157.230.177.134	8
142.93.228.105	8
192.81.219.158	8
217.115.10.132	8
162.244.83.122	8
80.211.52.246	8
185.193.125.42	8
45.119.212.105	8
35.0.127.52	8
80.67.172.162	8
112.254.115.124	8
104.248.80.173	8
31.220.0.225	8
212.21.66.6	8
162.243.160.215	8
87.120.36.157	8
5.199.130.188	8
77.247.181.165	8
89.248.167.131	8
178.128.160.212	8
139.59.151.149	8
185.220.101.34	8
139.59.154.219	8
206.189.152.215	8
192.160.102.166	8
195.206.105.217	8
165.227.183.88	8
185.254.122.114	8
89.197.161.164	8
185.100.87.206	8
109.97.49.130	7
128.31.0.13	7
51.15.53.83	7
218.60.28.126	7
178.128.96.131	7
110.249.212.46	7
99.245.243.33	7
71.6.199.23	7
2.106.53.187	7
31.185.104.21	7
45.67.14.146	7
54.36.189.105	7
164.52.24.164	7
37.49.228.121	7
185.104.120.5	7
185.104.120.4	7
185.104.120.3	7
162.213.3.221	7
185.107.47.171	7
185.220.101.0	7
209.95.51.11	7
47.223.120.158	7
206.189.181.86	7
185.65.135.180	7
212.129.138.211	7
125.64.94.211	7
61.188.189.7	7
62.210.37.82	7
107.6.169.250	7
23.254.215.215	7
165.227.180.34	7
218.93.167.5	7
185.220.100.253	7
185.220.100.252	7
82.245.177.183	7
199.249.230.86	7
199.249.230.89	7
103.89.91.94	7
196.52.43.63	7
185.165.168.229	7
94.102.51.78	7
185.220.101.28	7
185.220.101.27	7
185.220.101.25	7
185.220.101.22	7
185.220.101.21	7
192.42.116.13	7
196.52.43.88	7
196.52.43.89	7
87.118.116.90	7
118.33.75.186	7
115.238.245.8	7
115.238.245.2	7
115.238.245.4	7
185.220.102.6	7
185.220.102.7	7
78.198.69.64	7
54.39.148.234	7
54.39.148.232	7
199.249.223.79	7
85.248.227.163	7
163.172.65.171	7
158.69.217.87	7
66.240.219.146	7
185.220.101.20	7
116.77.132.129	7
122.226.181.165	7
122.226.181.164	7
122.226.181.167	7
122.226.181.166	7
142.11.236.32	7
207.244.70.35	7
104.244.73.126	7
119.253.84.102	7
65.19.167.130	7
180.150.127.191	7
114.216.58.156	7
80.82.70.118	7
59.148.43.97	7
185.94.111.1	7
204.8.156.142	7
202.150.142.38	7
103.44.144.53	7
196.52.43.51	7
87.118.92.43	7
88.2.155.142	7
95.128.43.164	7
62.102.148.68	7
108.53.62.148	7
196.52.43.52	7
71.6.158.166	7
185.129.62.62	7
165.227.112.34	7
46.182.106.190	7
192.160.102.164	7
192.160.102.169	7
185.220.101.30	7
185.220.101.32	7
51.15.43.205	7
150.246.86.175	7
120.150.103.101	7
192.160.102.165	7
185.142.236.34	7
193.188.22.12	7
60.191.38.77	7
137.74.167.96	7
80.210.79.109	7
199.249.230.107	7
165.227.210.84	7
185.100.87.207	7
200.68.66.165	6
118.194.132.112	6
77.247.108.57	6
77.247.108.53	6
80.211.244.108	6
119.194.14.3	6
162.243.151.170	6
137.74.169.241	6
51.15.59.9	6
119.65.97.46	6
162.247.74.202	6
162.247.74.200	6
162.247.74.206	6
58.218.56.92	6
185.147.237.8	6
211.109.96.118	6
185.117.215.9	6
82.221.131.102	6
14.33.133.188	6
176.10.107.180	6
185.173.35.25	6
185.173.35.21	6
159.89.117.101	6
223.111.139.211	6
223.111.139.210	6
144.217.90.68	6
195.176.3.23	6
61.155.218.109	6
185.107.47.215	6
82.221.131.5	6
165.227.114.95	6
209.141.35.22	6
120.52.152.17	6
202.29.57.103	6
223.111.139.239	6
175.195.45.85	6
196.52.43.60	6
196.52.43.61	6
119.4.250.72	6
138.197.145.227	6
195.154.251.116	6
184.105.139.70	6
5.196.1.129	6
213.213.194.116	6
68.213.191.66	6
107.170.194.123	6
178.33.83.72	6
144.217.39.181	6
198.20.99.130	6
1.225.53.146	6
185.254.122.34	6
219.146.152.154	6
185.129.251.16	6
185.104.120.7	6
167.99.221.150	6
159.89.47.108	6
185.220.101.35	6
104.57.202.202	6
107.170.193.204	6
185.220.101.7	6
185.220.101.6	6
183.230.146.26	6
89.31.57.5	6
23.129.64.158	6
23.129.64.156	6
77.247.108.37	6
205.252.40.168	6
31.31.77.217	6
167.99.183.111	6
209.141.58.114	6
185.220.101.45	6
198.20.70.114	6
159.65.201.13	6
51.89.139.237	6
125.72.70.46	6
71.6.167.142	6
198.143.155.138	6
71.6.146.186	6
217.128.177.33	6
107.200.127.153	6
89.248.174.3	6
103.207.38.195	6
130.149.80.199	6
185.244.25.212	6
142.93.98.127	6
185.220.101.60	6
185.220.101.68	6
77.247.109.74	6
167.99.42.89	6
182.37.6.241	6
85.93.20.34	6
193.105.134.96	6
51.15.59.175	6
14.32.29.69	6
140.143.77.85	6
138.197.146.238	6
178.239.176.73	6
118.163.193.82	6
192.42.116.14	6
209.141.41.103	6
158.69.192.200	6
199.249.230.80	6
199.249.230.83	6
196.52.43.64	6
196.52.43.65	6
196.52.43.62	6
185.53.88.178	6
185.53.88.177	6
54.37.234.66	6
196.52.43.128	6
199.87.154.255	6
51.254.47.198	6
209.97.186.86	6
94.230.208.147	6
210.101.91.175	6
195.154.242.52	6
116.193.159.2	6
185.220.101.29	6
185.220.101.26	6
159.203.42.75	6
196.52.43.86	6
196.52.43.85	6
166.70.207.2	6
90.23.79.71	6
163.172.160.182	6
118.180.166.195	6
77.247.109.146	6
196.52.43.131	6
196.52.43.130	6
87.118.116.12	6
149.202.170.60	6
185.220.101.49	6
107.170.238.236	6
123.157.138.165	6
205.185.127.219	6
92.118.161.53	6
185.53.88.2	6
71.6.135.131	6
185.173.35.57	6
68.183.203.154	6
185.248.160.21	6
77.247.109.128	6
77.247.109.129	6
61.178.74.27	6
196.52.43.119	6
196.52.43.118	6
196.52.43.111	6
196.52.43.112	6
196.52.43.114	6
196.52.43.117	6
196.52.43.116	6
209.17.96.250	6
199.249.230.119	6
142.93.63.179	6
78.196.118.157	6
211.43.127.239	6
204.17.56.42	6
184.105.247.196	6
184.105.247.195	6
222.184.72.66	6
77.247.108.44	6
77.247.108.47	6
158.140.140.207	6
59.49.38.210	6
46.165.254.166	6
61.184.247.11	6
141.98.81.37	6
46.148.20.25	6
77.247.109.201	6
